doc_id,text
259,packed house office keene future hands hampshire let’s fix kids
260,narrative taking climate change isnt popular fossil fuel industry data tells story favor expanding solar farms support law requiring homes solar panels environmental regulations worth cost
261,event tonight council bluffs
262,rip david stern
263,julian speeding ticket
264,huge crowd lebanon hampshire people tough don’t mind cold yanggang energy growing day
265,i’ve lots setbacks stories
266,ran friends hampshire
267,huge crowd nashua arbor restaurant ring
268,it’s
269,rang surrounded yangganglove nashua beginning era america
270,yanggang stop pumped days ahead giving chance change history let’s
271,happy yanggang million days million hours power campaign change country people let’s history inauguration party
272,canvass launch council bluffs
273,stopped stark brewing company manchester crowd yanggang let’s win
274,paul
275,job yanggang hit million goal hit million midnight
276,relative normalcy advantage running president
277,amazing yanggang million tonight let’s history
278,epic crowd chuck’s barbershop concord celebrating year’s eve times hampshire rocks
279,fantastic crowd rockingham brewery company derry love businesses community stronger
280,yanggang fill blank theme song choosemydj yang
281,overflow crowds hampshire
282,bigger jobs future based communities values narrow conception market desires retraining programs proven ineffective time
283,event sioux city huge
284,yanggang donate finish line couldn’t
285,spent trillion iraq war trillion middle east
286,yanggang let’s history shock world easy
287,waking exeter feels familiar what’s tv ad tv yanggang pollthepeople
288,year’s resolution president elect united america
289,exeter graduated school i’m lot popular apparently sibi
290,people thinking i’d won holy cow win
291,packed house coffee coffee salem hampshire
292,feel it’s easier benefit doubt
293,we’ve qualified debate we’ve donate reach goal january
294,heading editorial board meeting boston globe morning
295,son misbehaving nice people son it’s it’s hard happy people don’t spend time
296,mindset abundance makes tremendous
297,yanggang passed million incredible
298,i’m excited adding taking
299,passing providence fun true
300,parent idea learn pretty quickly lot experience
301,evelyn googles andrew yang regularly
302,ordinarily drive hampshire time train
303,win
304,lot time wins simply committed action
305,holidays festive time difficult time struggling people care reach humanityfirst
306,fight win
307,invited celtics game hawks eneskanter
308,january debate yanggang helping
309,giant move eradicating poverty weeks
310,rough day patriots
311,shooting church fort worth awful story lethal violence worship gun violence affects country gather pray peace
312,proof i’ll wear tie occasion
313,hampshire heading tonight ready ring yanggang nashua
314,chance win
315,storm lake professor yang house son you’re guy
316,yanggang hard closing goal releasing awesome winter merch celebrate progress pre purchase closer million goal
317,race deploy china race win scale federal investments coordination fund training apprenticeship tens thousands technicians
318,call inspiring grandma spreading word campaign months she’s persuasive
319,heart victims monsey entire jewish community anti semitism horrifying scourge america prevent punish investigate crimes protect gather worship peace
320,web traffic week lot campaign
321,organizations succeeded organizations feels winning team
322,reason fight
323,hearing i’m lot people’s choice huge step lot people’s st choice
324,americans reasonable sit
325,stephanie
326,government change tax day revenue day national holiday send taxpayer video tom hanks choose
327,hard decade days let’s start celebration heard round world
328,effective solution income inequality people money
329,american people sleeping giant waking weeks epic
330,wonderful trip south carolina holidays message growing fast sc rewrite rules st century economy people
331,i’ll gladly
332,someplace makes difference
333,tremendous house party columbia
334,i’m action figure
335,talked friend
336,fantastic house party columbia south carolina tonight people amazing community
337,event laurens tonight finally candidate makes sense i’m caucusing
338,excited
339,people north carolina campaign love friends priority volunteer south carolina phenomenal nc super tuesday
340,meet greet sellers south carolina excited history
341,juan benitez las palmas bar grill sc endorsement means lot
342,thrilled endorsed mayor barbara hopkins sellers south carolina
343,black women’s caucus florence sc hosting
344,wonderful roundtable democratic women’s council darlington county hartsville sc morning
345,artificial intelligence players prone injury step floor
346,sitting remote interview chris hayes south carolina tonight chris msnbc journalists reached team past days decided i’d prefer speak americans message
347,south carolina offices rock hill charleston florence greenville columbia you’re sc local yanggang office pick swag connected
348,hard solve makes feel
349,south carolina ton potential team
350,fantastic campaigning colleton county south carolina people
351,yanggang year’s eve martha’s exchange nashua hampshire sold days ago feel people bunch bars restaurants lounges downtown nashua block party
352,power predatory lending practices payday lenders gouging americans financial wall extortionate rates legit build business
353,wow i’d universally approved nominees registered democrats hear
354,heard expected poll run couple weeks heads yanggang let’s
355,reason i’m forward nominee i’m pumped campaign country
356,south carolina
357,wow win
358,christmas memories
359,sinister couple gangsters
360,christmas poverty
361,live music makes
362,merry christmas hope celebrating holiday friends family
363,spotted nyc
364,started friends twitter yanggang
365,growth campaign feels happen we’ve surprised people wait what’s store
366,posted tweet dnc video unaware criterion that’s teams kinds happy holidays
367,i’m learning time i’ve learned people aren’t infinitely adaptable strengths weaknesses hidden capacities limits
368,event jefferson you’re
369,viewers won debate joe bernie
370,happy holidays yanggang
371,spent fraction money spend healthcare system keeping people healthy transform paying people gym yoga studio nutritionist vice versa
372,irons fire
373,people listen people foremost win
374,national poll trending
375,happyhanukkah celebrating hope everyone’s holiday season
376,difference outsider incumbent votes
377,yanggang biggest goal million debate staff ad buys progress bar quarter determines win
378,tied
379,event panora real person i’m excited race
380,candidate campaign growing based reactions anecdotes data growing fast yanggang
381,latino teenager iowa evidently targeted race hit run reprehensible heart family america hate strengthen communities
382,street hey guy running president lot
383,forward campaigning nominee culminating historic celebration likes world
384,evelyn trail idea campaigned
385,precious asset time let’s
386,kid strongly humiliation burned times that’s reason feel realize resilience time
387,decriminalizing sex seller helpful combating human trafficking sex workers victims
388,heard people social media feeds blew debate that’s hear
389,talked hundreds yanggang volunteers phonebanking amazing let’s history weeks
390,worst news kobe time entire life ahead heart family fans millions people lives touched kobe time
391,south carolina coming dec visiting walterboro west ashley darlington florence columbia sellers sc yanggang
392,sat
393,anonymity harder st
394,amazing people joining yanggang single day
395,i’m focused
396,haha
397,love obvious reasons
398,son daddy deadline coming lots deadlines meet son thinking miss smiling daddy doesn’t miss deadlines
399,people people
400,convo
401,started day creston iowa i’ve told i’m caucusing permanent recession
402,i’m moral victories let’s win
403,hugely empowering
404,friends twitter that’s remember passing million yanggang yesterday
405,it’s feeling fighting
406,people lots
407,idea i’ll
408,hope enjoyed couple days yanggang excitement days stay tuned let’s shoulders biggest celebration
409,it’s goals
410,yanggang we’re running time hit goal it’s late
411,created voter
412,wonderful conversation
413,dnc raised bar january yanggang let’s stopped
414,happy birthday
415,star wars nick nicole won trip review
416,celebrating yanggang la let’s shock world
417,yanggang debate stage tonight hope proud let’s campaign rolling growing shock world starting february iowa
418,stop confusing economic human
419,donate support yanggang demdebate
420,demdebate yanggang
421,someone’s enjoying iowa
422,family friend neighbor special autism demdebate yanggang
423,kids intrinsic american you’re human demdebate yanggang
424,surpassed total time plenty time
425,operate fundamentally anti woman marketplace includes marketplace politicians demdebate yanggang
426,i’m record strong male female leaders yanggang demdebate
427,average contribution total donors doubt running grassroots campaign yanggang demdebate
428,demdebate yang
429,it’s honor disappointment lone candidate color debate stage tonight demdebate yanggang
430,donate campaigns disposable income demdebate yanggang
431,climate change existential threat facing society save country planet demdebate yanggang
432,qualified february debate hampshire hard happen let’s history
433,gdp corporate profits record highs america record highs depression financial insecurity student loan debt demdebate yanggang
434,start digging solving donald trump elected demdebate yanggang
435,demdebate yanggang
436,yanggang pride final debate awesome commemorative button proceeds directly grassroots campaign
437,blast donald glover la
438,excited la pop check line yanggang
439,spotted la
440,facebook admitted week track location you’ve location tracking sell data advertisers data property tech companies absolutely allowed permission
441,excited debate tonight evelyn
442,watching impeachment unfold watching game final score
443,nationwide abc qualifying poll yanggang
444,it’s forgive people lapses misstatements maturing human teenagers
445,race ai supremacy risk losing i’m candidate understands leader tech automation sacrificing humanity
446,attention la yanggang
447,holidays
448,we’ve weeks left let’s
449,ran
450,special holiday appearance
451,notsofunfact ct scan costs netherlands scan difference healthcare system
452,easier vote automatically registering voters allowing day registration
453,evelyn favorite people sororityofyang scott county gala love proud evelyn
454,couple fun surprises la debates
455,win humanity monday supreme court reaffirmed crime homeless individuals sleep outdoor public spaces bigger win humanity let’s people resources provide food shelter families
456,finished filming
457,local newspapers print that’s terrible democracy local government encourage models journalism include philanthropy cooperative ownership town libraries public private partnerships
458,unimaginable wealth unimaginable poverty country miles people
459,city orleans recently declared emergency hit cyber attack cybersecurity isn’t hear politicians talk don’t change
460,congrats ronny
461,glad hear
462,freedom dividend lead towns country resembling college towns communities stable economic base typically businesses
463,parents kids home sick
464,agree
465,deeply practical person
466,national polling vision hundreds thousands donors dozens offices million dollar ad buys intense support growing fast presidential campaign press notice
467,heading la tonight debate won’t kamala cory tulsi beto feel standing keeping stage yanggang
468,people book makes nice compact holiday gift
469,congress passed funding gun violence research time congrats
470,trump won wisconsin fewer votes votes swing election democracy doesnt people prevented voting fight peoples vote results
471,flip top bus teen wolf style bus tour incredible
472,yanggang raised million bus tour hours original goal i’m jumping likeness can’t wait call donor top gang stopped
473,holidays time yanggang countless conversations dinner table introduce people campaign heard signs
474,glad lmu head table im hoping reach outcome fair workers ensures fair wages benefits deserve
475,happy lunar lunarnewyear
476,bus entering station yanggang
477,boys strong learn masculinity involves connection
478,nationally qualifying poll
479,attn starwars fans join week episode donate amount chance win trip la star wars rise skywalker thursday debate force
480,choice giving money institutions hope trickles giving money people hope trickles answer obvious
481,extending deadline hours fun donates chance star wars la debate candidate yanggang incredible
482,moved deadline midnight central time time means people stay late yanggang procrastinates
483,americans tuning election field wide
484,wow bus moving
485,love iowa hampshire don’t anyone’s permission vote permission
486,love excitement yanggang hits goal i’d people feel unduly stressed spread word let’s focus picture campaign people humanity
487,doulas save lives services covered expectant mom
488,entering crunch time campaign pumped growing pulling golden opportunity weeks let’s history
489,write iowa
490,hit million means unlocked prize head progress bar
491,donating
492,timed pursue makes people stronger healthier freely
493,evelyn reach million goal sunday night let’s hit goal yanggang click link donate
494,wonderful time bus tour iowa welcoming evelyn arms future country rests february
495,yanggang iowa bus tour names campaign
496,osceola i’m knocking doors surprise lot people
497,veteran davenport told psilocybin mushrooms treatment found effective depression returning home explore psilocybin mushrooms legal medical therapeutic veterans
498,iowa city let’s rewrite rules people
499,rocks party rocks body
500,damian found stand daddy
501,armynavygame
502,food drive office dubuque tonight brought food needy pledgeforhumanity humanityfirst
503,phenomenal town hall waterloo inequality evelyn makes
504,support enjoyed convo immensely
505,excited join pledgeforhumanity food drive event dubuque office tonight
506,yanggang bus tour it’s blast it’s
507,family doctor iowa told people sick town lose jobs kicked insurance die eligible disability coverage disconnect health care coverage jobs
508,joined evelyn speak moms cedar falls moms world round fighting paid family leave moms free day care universal pre dividend enable spend time loved
509,live youtube
510,wonderful time interfaith town hall waverly iowa communities faith stronger
511,won’t cross deserve
512,worship campaign country
513,lamar jackson national treasure
514,i’ve half dozen political ads tv past minutes i’m iowa
515,feel evelyn arrived iowa
516,million twitter friends means million human yanggang
517,taking cy hawks game hilton tonight ames
518,lead world global ban lethal autonomous weapons systems humans life death decisions
519,economy trillion reason poverty
520,yanggang raise million midnight sunday donate team beat
521,marijuana math beanies stock supplies yanggang
522,wonderful meeting iowans ames office
523,you’d play
524,ran morning
525,bernie cory senators feel free campaign impeachment trial vote briefed findings
526,kid worried peers realized people stuff else’s
527,donors grassroots funding corporate pac money that’s yanggang campaign people fighting people
528,words heart sing iowa caucus
529,individual donors yanggang stopped
530,oskaloosa yanggang that’s win
531,live iowa
532,we’re hour donate
533,talking kennedy school students cedar rapids climate change moves safeguard communities people
534,didyouknow opiate prescriptions ohio people ohio marijuana classified schedule drug
535,livestreaming bus tonight phone calls donated donate
536,i’ve iowa’s outsized role presidential nomination process iowans ton common sense elevated barack obama demonstrated ability judge based move country forward
537,fantastic time bowling iowans davenport
538,couple journalists feel responsibility represent people color debate stage week impossible communities diverse americans meet concerned similar
539,california
540,event pella i’m caucusing time
541,talking military vets davenport return home treat veterans reflects core values
542,tour bus upgrade janky rent van drove humanity tour zach drove van
543,jews american
544,campaign single time history day can’t stop solve rewrite rules people means winning
545,heart families officers responders victims jersey city officers risks day safe gunfight happening streets country
546,rip marie fredriksson
547,yanggang settle
548,meeting iowans grinnell
549,donatetoandrewyang moving country forward
550,autonomous trucks highways
551,book store
552,yanggang let’s ring forward join nye hampshire drinks music tickets run
553,official headed december debate couldnt amazing support yanggang momentum donation tonight
554,los angeles yanggang couldn’t
555,we’re fun exciting journey yanggang yangontheroad
556,landed iowa bus
557,america hear december debate stage
558,agree proceeding impeachment it’s potential increase polarization galvanize president’s base impeachment doesn’t succeed provide positive vision move country forward
559,grandmother passed yesterday brought chris watched debates avidly grandson rest peace grandma
560,people donated yanggang it’s extraordinarily humbling let’s opportunity created
561,iowa can’t wait bus person
562,saturday morning event oskaloosa jc penney closed local mall it’s ideas caucus
563,play game
564,deere projects decline construction activity lays workers davenport workers
565,people
566,it’s easy talk harder let’s
567,apparently i’m top
568,pumped start bus tour iowa tomorrow
569,jamie dimon ray dalio looked concluded declare national emergency americans shut economic progress st century
570,i’m lucky
571,prepared yanggang
572,counts
573,hotel staff can’t wait caucus february it’s sign
574,let’s i’ve booked tickets la debate
575,left generation broken economy blamed it’s immoral let’s fix
576,let’s
577,it’s truck drivers shipping coordinators automated
578,loved sitting
579,it’s wonderful time
580,eradicate poverty united
581,kurt
582,rest follow
583,interview
584,family trail
585,i’m listening
586,push duterte cooperate probe extrajudicial killings philippines
587,texans don’t presidential candidates don’t campaign it’s true country electoral college pushes candidates swing change allocating electors pro rata
588,meet deshja
589,view backstage dallas
590,there’s time
591,i’m excited real life bus tour
592,yesterday puerto rico people left forgive debt rebuild island determination statehood puerto ricans americans it’s time start acting
593,dallas quick trip texas super tuesday
594,epic event fairfield tonight evelyn
595,chicago yanggang love change future country
596,it’s friday
597,happy release list special bundlers
598,spent time nurse training cassandra las vegas learning experience
599,chicago let’s history rewrite rules people
600,mile
601,iowa bus tour week yanggang bus
602,wonderful conversation
603,automation increase chances inadvertent nuclear launch he’s failsafes i’d adopt policy nuclear triad makes arsenal survivable world let’s lead direction
604,congrats reshma sharing real families
605,pumped iowa bus tour week evelyn coming graphics bus amazing yanggang names literally bus
606,media pile campaign reason people don’t run office candidates human
607,i’m running makes easy
608,drive success endeavor focus
609,strong treat women
610,unplug human
611,can’t wait president that’s awesome sentiment hear
612,based purely people express support growing quickly
613,chicago sit
614,ahead gdp
