doc_id,text
195,climate change global crisis requires global response sign petition united rejoin paris agreement
196,president i’ll call unprecedented investment country’s infrastructure american middle class compete win global economy read plan
197,newtown nation simply accept kids learn active shooter drills abcs defeat nra tool democracy
198,donald trump doesn’t country we’re nation immigrants diversity biggest strength
199,enormous opportunity donald trump white house administration tackle climate emergency head create million jobs power clean energy economy future
200,people family experiences tragedy grief purpose
201,wont crossing picket line we’ve stand
202,vote sacred american protect restoring voting rights act stopping foreign interference elections fighting gerrymandering calling automatic voter registration letusvotefl
203,tom joyner
204,time waste addressing climate emergency day i’ll bold action unleash power renewable energy clean energy economy net emissions
205,applaud senates landmark legislation formally recognizing armenian genocide dont acknowledge past loses meaning powerful future generations memories seared tragedy
206,president trump continues deny scientific evidence front eyes we’re paying price white house treat climate change existential threat
207,restore nations commitment humane effective immigration policies president ill provide fair system helps grow enhance economy secure cherished values
208,sacred obligation government properly train equip women defend nation war care families they’re deployed home president honor obligation
209,president bullies teenager
210,rest
211,troops hurt irans missile attack evaluated traumatic brain injuries trump headaches president respects service honors sacred duty care wounded warriors
212,i’ll rejoin paris agreement day rally world push progress faster it’s time trump’s shameful abdication leadership future country world children grandchildren inherit hangs balance
213,climate change plan beating donald trump
214,donald trump define nation
215,urgent action donald trump’s draconian immigration policies days inhumane asylum policies wasteful efforts build wall reverse muslim bans reverse public charge rule protect dreamers tps holders
216,trump bullied neighbors central america abandoned leadership region president ill renew robust commitment leadership pursue comprehensive strategy support central america
217,shouldn’t forced health insurance benefits fought period
218,nation immigrants strengths diversity makes stronger donald trump doesnt president
219,immigration stronger it’s essential donald trump waged assault values nation immigrants president ill undo trump’s damage values heart immigration system
220,health care personal deeply personal guarantee im elected president protect familys health care family’s
221,it’s hyperbole donald trump threat planet white house treat climate emergency existential threat future depends
222,folks coming country host watch parties weeks democratic debate head
223,afford president denies scientific evidence front eyes trump white house treat climate change existential threat
224,president trump leading corrupt administration modern american history power presidency benefit personal ill ensure government americans powerful
225,team pick lucky person join dinner ice cream campaign trail time running enter contest chip chance win
226,months iowa caucus embarked day county nomalarkey barnstorm folks fired defeat donald trump country
227,couldn’t chief acevedo you’re women children daughters sisters aunts you’re nra
228,shouldn’t live fear president trump’s erratic impulsive decisions
229,yesterday eve humanrightsday trump coddled dictator blocking meeting north korean human rights betraying values trump continues brutal kim jong regime expense american leadership allies security
230,it’s months john deere laid workers quad cities president trump’s reckless trade war round layoffs expected community trump’s failed policies destroying american jobs
231,anniversary hopeful moment trumps venezuela policy dead millions suffering maduro regime power
232,that’s americans died gun violence action gun violence epidemic
233,donald trump erratic unstable dangerously incompetent day directs national security dangerous day united
234,donald trump term president country join team let’s
235,matter start life limit achieve we’ve rebuild middle class time
236,educators deserve partner white house president support educators giving pay dignity deserve learn plan educators students future
237,prescription drug companies profiteering pocketbooks sick individuals it’s wrong president stand abuse power drug corporations runaway drug prices read plan
238,moral responsibility gender based violence president lead global effort sexual violence days
239,denying devastating effects climate change choose science fiction president address grave threat lead world addressing climate emergency
240,grasp gun violence epidemic president hold gun manufacturers accountable weapons war streets guns dangerous hands read plan
241,it’s rolling sleeves beat donald trump country days iowa head
242,i’m glad senate passed futureact permanently fund historically black colleges universities minority serving institutions i’ll invest billion institutions improve affordability build facilities support student success
243,stand donald trump destroy character nation term president
244,remember pearl harbor lost seaman roy powers seaman jimmy palides honored oelwein iowa it’s opportunity reflect veterans sacrifices recommit ensuring receive care earned
245,marge secret longevity
246,secretary education doesnt public schools epa administrator doesn’t climate change existential threat attorney selfish president ahead american people deserve
247,final day nomalarkey barnstorm enthusiasm we’ve difference weeks iowa caucus momentum contribute fueling efforts
248,house democrats passed legislation enact universal background checks reauthorize vawa it’s time
249,couldnt i’m honored
250,deserve donald trump hiding
251,voting rights act tools fight laws designed suppress vote votes people color gutted supreme court congressional republicans refused legislative fix
252,divert public funds private schools undermine entire public education system weve prioritize investing public schools kid america fair shot oppose vouchers espinoza
253,i’m proud humbled
254,im proud stand nhpolitics
255,job lot paycheck it’s dignity it’s kid eye people can’t rebuild inclusive middle class restore dignity
256,administration morally bankrupt
257,president respected world stage
258,congratulations
259,nuestro presidente debería ser capaz de cumplir con una prueba simple entender los puertorriqueños son ciudadanos americanos tienen derecho merecen el mismo apoyo del gobierno de los estados unidos todos los demás ciudadanos
260,president meet simple test understanding puerto ricans american citizens entitled deserve support united government citizen donald trump failed test
261,dreamers americans it’s time official promise provide pathway citizenship
262,empathy matters leaders treat people respect
263,president i’ll giant corporations super wealthy pay fair share taxes invest money growing stronger inclusive middle class
264,president trump destroying american leadership credibility abroad president ill rebuild modern agile department investing empowering finest diplomatic corps world
265,administration spark railroad revolution propel nations infrastructure future solve climate emergency
266,world laughing president trump dangerously incompetent incapable world leadership commander chief
267,inside nomalarkey bus favorite road trip partner
268,battle soul america it’s time remember country
269,women worldwide subjected physical violence rape stalking partner lives president i’ll tackle epidemic head violence women days
270,trump administrations infrastructure weeks bunch malarkey president ill transformational investment nations infrastructure future
271,applaud mondays sentences found guilty killing honduran environmental leader berta caceres environmentalists human rights activists fear lives justiceforberta
272,worker deserves fair wages benefits protections sexual harassment i’m proud stand solidarity benefits
273,administration trillions tax cuts giant corporations super wealthy cuts food assistance vulnerable society morally bankrupt
274,i’m running president restore soul nation rebuild inclusive middle class unite americans you’re chipping campaign
275,kamala harris incredible talent unlimited potential career defined taking abuse power seeking equity justice people intellect insight continue democratic party country
276,deserves peace mind quality affordable health care administration people choice existing plan medicare public option it’s effective achieve universal coverage
277,united america leave matter race gender religion sexual orientation disability president understands
278,don’t urgent action address climate emergency planet recover climate change denier white house tackle crisis head
279,team pick fly meet trail share meal expenses ice cream dessert time running enter chip chance win
280,weapons war communities nomalarkey
281,i’ve believed strongest act america unite country accomplish agree join team
282,governor
283,meet richard millions americans supports protecting expanding obamacare
284,ago roevwade recognized womans constitutional choose attack country codify roe law fight laws violate
285,american leadership served backbone nato founding ago president trump abdication america’s traditional leadership role critical moment alliance
286,ago rosa parks courageous act forever changed country history continue follow brave speak injustice found
287,we’re officially road day nomalarkey tour iowa
288,congressman admiral service
289,voter counts president ready listen voice
290,fight hiv taught hearted follow science treat dignity respect protect human rights walk planet worldaidsday
291,donald trump fundamentally alter character nation happen term president
292,president trump administration prioritized giant tax cuts super wealthy corporations theyve attacked food assistance chance theyve it’s heartless hungry america
293,fired ready nomalarkey barnstorm
294,jill extend celebrating hmong wishing joyous colorful celebrations country filled music quality time family blessings beginnings nyob zoo xyoo tshiab
295,administration cut social security medicare benefits period we’ll expand donald trump sacrificing seniors benefits protect tax cuts wealthiest americans companies defeat november
296,ago fought brady handgun violence prevention act passed established background check system guns hands dangerous individuals i’ve
297,day encourage shop locally support folks community hard day smallbusinesssaturday
298,i’m incredibly thankful supportive teamjoe country hard day campaign i’d love you’re thankful share story
299,single community access clean safe drinking water period president stand abuse power polluters disproportionately harm communities color low income communities
300,time start rewarding wealth president ill reverse trumps tax cuts super wealthy build stronger inclusive middle class
301,tomorrow we’re kicking day county malarkey barnstorm iowa i’d love head
302,joke folks celebrate black friday we’re giving extra teamjoe gear head
303,redemption president i’ll ensure incarcerated opportunity reintegrate society earn living participate democracy fellow citizens read plan
304,jill greatly admire days
305,students educators deserve betsy devos
306,thankful day happy thanksgiving serving overseas can’t home family americans corner country hope day filled family friends laughter gratitude
307,i’ve dedicated life public service president ready day
308,effects climate change devastating action bold plan ensure leads world address climate emergency
309,seeking asylum southern border fleeing horrific forms gender based violence president restore asylum status domestic violence survivors spearhead initiative violence women girls central america days
310,obamacare provided protections million americans pre existing conditions huge step forward can’t stop i’ll protect build obamacare ensure american peace mind quality affordable health care
311,president trump define nation america hopeful inclusive hate safe harbor leave donald trump
312,we’ve build stronger inclusive middle class starts strengthening public private sector unions workers empowered bargain deserve read plan
313,it’s world belief guided life rev dr frantz whitfields he’s pillar iowas faith community i’m grateful support
314,prescription drug corporations profiteering pocketbooks sick individuals it’s wrong it’s time stand abuse power i’m ready battle president read plan
315,id love hampshire primary ill busy talking voters im beat donald trump join sign join team
316,morning beau proud he’s promise stay engaged promise guides day
317,it’s hands deck reach month goal i’d chip
318,america’s farmers deserve
319,president enormous challenge picking pieces americas broken foreign policy president trump there’s time job training leader ready day
320,south carolina’s social security requirement unnecessary burden discourages folks participating political process wrong reversed voting easier harder
321,im incredibly honored endorsement tom christie vilsack support win iowa caucus earn nomination beat donald trump november
322,american people waiting tax returns hiding
323,donald trump white house combat climate change rebuild inclusive middle class protect build obamacare ensure government americans powerful
324,promise
325,favorite campaign trail meeting folks country hearing stories sit dinner ice cream dessert chip chance win
326,climate change it’s poses existential threat future time waste day i’ll bold action protect planet future generations
327,iowa caucus goers note joni ernst spilled beans donald trump scared death i’ll nominee feb let’s day
328,citizens united stop time eliminate private dollars federal elections return democracy people
329,join leaders activists world recommitting violence women donald trump undermined american leadership ill restore address gender based violence forms idevaw
330,students educators afford donald trump betsy devos
331,it’s time remember americans treat dignity leave hate safe harbor
332,weapons war communities i’ve successfully
333,i’m running president build inclusive middle class race gender religion ethnicity sexual orientation disability
334,donald trump fundamentally alter character nation stand watch happen
335,health care biggest issues election president ensure health care privilege peace mind deserve read plan
336,climate change existential threat planet action president recommit paris agreement i’ll lead world ante addressing climate emergency
337,tom christie vilsack support win iowa move country forward
338,ive fighting protect expand social security career suggestion flat wrong
339,hearts families iranian protesters killed past week iranians people protest peacefully brutally attacked government internet shut days world watching
340,trump administration’s infrastructure weeks joke crumbling roads bridges transformational investment america’s infrastructure future
341,donald trump corrupt president modern american history agree chip term president
342,we’re officially ballot south carolina
343,election nation welcomes fleeing persecution seeking asylum nation
344,corruption donald trump’s middle
345,build economy reflects values administration reverse trump tax cuts super wealthy corporations money build stronger inclusive middle class
346,obamacare deal saved lives millions peace mind afford tear start protect build
347,it’s donald trump abused power presidency stop corrupt president modern american history
348,campbell incredible i’m proud played journey
349,government powerful super wealthy eliminate private dollars federal elections citizens united dark money increase transparency accountability
350,night demdebate momentum chip
351,ready iowa im heading day county malarkey barnstorm event
352,white house job training ill ready day
353,let’s momentum tonight’s demdebate you’re teamjoe chip
354,speak speak loudly violations human rights demdebate
355,united america single accomplish set minds country lead world demdebate
356,stepped demdebate stage laid bold vision future whats unite country proud tonight chip power campaign
357,that’s tagging tonight’s demdebate follow campaign
358,fundamentally change culture women treated country demdebate
